rank,candidate,model,harnesses_passed,public_passes,hidden_passes,forbidden_changes,score,average_time_seconds
1,09-grok-4-5,opencode-go/grok-4.5,5/5,5,5,0,1.00,29.899
2,01-gpt-5-6-luna,opencode-go/gpt-5.6-luna,5/5,5,5,0,1.00,38.673
3,22-deepseek-v4-flash-free,opencode/deepseek-v4-flash-free,5/5,5,5,0,1.00,51.981
4,18-gpt-5-3-codex-spark,gpt-5.3-codex-spark,5/5,5,5,0,1.00,60.725
5,04-deepseek-v4-pro,opencode-go/deepseek-v4-pro,5/5,5,5,0,1.00,65.574
6,52-claude-sonnet-5,opencode/claude-sonnet-5,5/5,5,5,0,1.00,68.213
7,11-deepseek-v4-flash,opencode-go/deepseek-v4-flash,5/5,5,5,0,1.00,74.143
8,48-gpt-5-6-terra,gpt-5.6-terra,5/5,5,5,0,1.00,87.055
9,16-kimi-k2-6,opencode-go/kimi-k2.6,5/5,5,5,0,1.00,91.592
10,03-kimi-k2-7-code,opencode-go/kimi-k2.7-code,5/5,5,5,0,1.00,99.379
11,06-minimax-m3,opencode-go/minimax-m3,5/5,5,5,0,1.00,101.459
12,07-mimo-v2-5-pro,opencode-go/mimo-v2.5-pro,5/5,5,5,0,1.00,105.134
13,49-gpt-5-4,gpt-5.4,5/5,5,5,0,1.00,119.703
14,05-glm-5-2,opencode-go/glm-5.2,5/5,5,5,0,1.00,119.742
15,47-gpt-5-6-sol,gpt-5.6-sol,5/5,5,5,0,1.00,121.107
16,50-gpt-5-4-mini,gpt-5.4-mini,5/5,5,5,0,1.00,124.081
17,15-glm-5-1,opencode-go/glm-5.1,5/5,5,5,0,1.00,135.099
18,53-claude-opus-5,opencode/claude-opus-5,5/5,5,5,0,1.00,143.420
19,10-kimi-k3,opencode-go/kimi-k3,5/5,5,5,0,1.00,189.396
20,46-gpt-5-6-luna,gpt-5.6-luna,5/5,5,5,0,1.00,195.330
21,14-hy3,opencode-go/hy3,4/5,5,4,0,0.90,42.575
22,51-claude-haiku-4-5,opencode/claude-haiku-4-5,4/5,5,4,0,0.90,55.642
23,27-hy3-free,opencode/hy3-free,4/5,5,4,0,0.90,59.818
24,19-big-pickle,opencode/big-pickle,4/5,5,4,0,0.90,68.279
25,13-mimo-v2-5,opencode-go/mimo-v2.5,4/5,5,4,0,0.90,72.584
26,33-nemotron-3-5-lightning-free,opencode/nemotron-3.5-lightning-free,3/5,5,3,0,0.80,55.641
27,17-minimax-m2-7,opencode-go/minimax-m2.7,3/5,5,3,0,0.80,88.774
28,35-nemotron-3-ultra-free,opencode/nemotron-3-ultra-free,3/5,4,3,0,0.70,81.606
29,20-laguna-s-2-1-free,opencode/laguna-s-2.1-free,3/5,3,3,0,0.60,499.955
30,28-mimo-v2-5-free,opencode/mimo-v2.5-free,2/5,4,2,0,0.60,168.850
31,02-qwen3-7-plus,opencode-go/qwen3.7-plus,0/5,0,0,0,0.00,900.024
